customer_key,customer_id,customer_name,customer_segment,start_date,end_date,is_current,customer_group
33,40,Seth Grimes,Corporate,2013-03-21,,True,B2B
34,42,Alexandra Fuller,Consumer,2012-11-05,,True,B2C
35,43,Theodore Moran,Consumer,2010-11-10,,True,B2C
36,45,Melinda Sloan,Home Office,2012-02-24,,True,B2C
37,46,Anne Nguyen,Home Office,2012-09-23,,True,B2C
38,48,Geoffrey Hewitt,Corporate,2011-08-15,,True,B2B
39,49,Terri Lyons,Corporate,2011-03-29,,True,B2B
40,50,Dawn Bailey,Corporate,2011-03-29,,True,B2B
41,52,Lorraine Kelly,Corporate,2010-09-10,,True,B2B
42,53,Sidney Russell Austin,Corporate,2010-07-28,,True,B2B
43,55,Marvin Hawley,Consumer,2011-10-20,,True,B2C
44,55,Marvin Hawley,Home Office,2011-10-06,2011-10-19,False,
45,56,Randall Montgomery,Consumer,2010-10-20,,True,B2C
46,57,Kimberly Epstein,Consumer,2012-01-21,,True,B2C
47,59,Rose Lassiter,Corporate,2013-03-14,,True,B2B
48,59,Rose Lassiter,Small Business,2013-02-23,2013-03-13,False,
49,60,Sheila Warren,Corporate,2013-07-21,,True,B2B
50,60,Sheila Warren,Small Business,2012-06-10,2013-07-20,False,
51,61,Charlotte Stanton,Corporate,2012-10-07,,True,B2B
52,61,Charlotte Stanton,Small Business,2011-11-18,2012-10-06,False,
53,62,Pam Gilbert,Corporate,2010-11-09,,True,B2B
54,63,Gene Diaz,Corporate,2013-03-07,,True,B2B
55,64,Lynn Morrow,Corporate,2013-08-26,,True,B2B
56,64,Lynn Morrow,Small Business,2010-03-02,2013-08-25,False,
57,65,Jenny Sanchez,Corporate,2012-05-02,,True,B2B
58,66,Arlene Rouse,Corporate,2012-05-02,,True,B2B
59,67,Ellen McCormick,Corporate,2010-01-02,,True,B2B
60,68,Scott Bunn,Corporate,2010-01-02,,True,B2B
61,69,Carrie House,Corporate,2012-05-02,,True,B2B
62,70,Annette Boone,Corporate,2010-02-02,,True,B2B
63,72,Amanda Hardy Singleton,Small Business,2012-08-12,,True,B2B
64,73,April Winters,Small Business,2013-10-28,,True,B2B
65,74,Mark Manning,Small Business,2012-12-10,,True,B2B
66,75,Tamara Yates,Small Business,2012-04-11,,True,B2B
67,76,Glen Weeks,Small Business,2012-04-11,,True,B2B
68,77,Jan Kaufman Parrish,Small Business,2012-04-11,,True,B2B
69,78,Hannah Grant,Small Business,2012-04-11,,True,B2B
70,80,Sam Carlson,Small Business,2011-02-06,,True,B2B
71,81,Dale Hahn,Small Business,2012-07-16,,True,B2B
72,83,Edgar Stone,Corporate,2010-03-15,,True,B2B
73,84,Helen Stein,Consumer,2010-02-02,2010-09-29,False,
74,84,Helen Stein,Corporate,2010-09-30,,True,B2B
75,85,Hazel Graham,Consumer,2013-04-14,,True,B2C
76,85,Hazel Graham,Corporate,2011-04-10,2013-04-13,False,
77,87,Norman Shields,Corporate,2010-06-03,,True,B2B
78,88,Phillip Clapp,Corporate,2011-12-13,,True,B2B
79,90,Katie Watson,Corporate,2012-02-07,,True,B2B
80,91,Wallace Werner,Corporate,2010-09-04,,True,B2B
81,91,Wallace Werner,Home Office,2010-05-17,2010-09-03,False,
82,92,Victoria Baker Hoover,Corporate,2010-12-07,,True,B2B
83,92,Victoria Baker Hoover,Home Office,2010-05-17,2010-12-06,False,
84,93,Vicki Shannon,Corporate,2011-11-22,,True,B2B
85,94,Eddie House Mueller,Corporate,2012-10-08,,True,B2B
86,94,Eddie House Mueller,Home Office,2010-11-03,2012-10-07,False,
87,95,Kristin Hunt,Corporate,2012-10-08,2013-03-18,False,
88,95,Kristin Hunt,Home Office,2013-03-19,,True,B2C
89,96,Vincent Lindsay,Home Office,2011-08-21,,True,B2C
90,97,Max McKenna,Home Office,2010-11-03,,True,B2C
91,98,Sarah Cooke Anthony,Home Office,2013-04-12,,True,B2C
92,99,Theresa Hansen,Consumer,2011-02-23,,True,B2C
93,100,Monica Daly,Consumer,2013-02-14,,True,B2C
94,101,Claudia Boyle,Consumer,2010-06-22,,True,B2C
95,102,Caroline Johnston,Consumer,2010-04-06,,True,B2C
96,103,Alexander Hendricks,Consumer,2011-02-23,,True,B2C
97,104,Annette Ferrell,Consumer,2011-02-23,,True,B2C
98,105,Oscar Monroe,Consumer,2013-02-23,,True,B2C
99,106,Harry Faulkner,Consumer,2011-03-09,,True,B2C
100,107,Lois Hamilton,Consumer,2010-04-06,,True,B2C
101,108,Fred Sharma,Consumer,2011-06-29,,True,B2C
102,109,Tom McFarland,Consumer,2010-06-22,,True,B2C
103,110,Stanley Kessler,Consumer,2011-02-23,,True,B2C
104,111,Claire Quinn,Consumer,2013-02-14,,True,B2C
105,112,Louis Adkins,Consumer,2011-06-29,,True,B2C
106,113,Kathryn Norton,Consumer,2011-03-09,,True,B2C
107,114,Ron Newton,Home Office,2010-01-03,,True,B2C
108,115,Dwight M Carr,Home Office,2010-04-09,,True,B2C
109,116,Frances Grant,Home Office,2013-04-09,,True,B2C
110,117,Linda Weiss,Home Office,2010-01-03,,True,B2C
111,119,Judy Kennedy,Corporate,2011-12-17,,True,B2B
112,120,Helen H Murphy,Corporate,2010-07-12,,True,B2B
113,122,Miriam Proctor,Home Office,2012-04-11,,True,B2C
114,123,Shawn Stern,Home Office,2010-10-09,,True,B2C
115,125,Linda Faulkner,Consumer,2012-10-06,,True,B2C
116,126,James Osborne,Consumer,2011-09-10,,True,B2C
117,127,Ross Wang Bates,Consumer,2013-05-07,,True,B2C
118,129,Kara Allison,Small Business,2010-07-27,,True,B2B
119,130,Norman Owens,Small Business,2012-06-03,,True,B2B
120,132,Ron Dillon,Corporate,2011-09-20,,True,B2B
121,133,Gayle Keith,Corporate,2012-03-05,,True,B2B
122,133,Gayle Keith,Home Office,2011-03-14,2012-03-04,False,
123,134,Natalie Raynor,Corporate,2013-11-30,,True,B2B
124,136,Dale Gillespie,Small Business,2010-11-16,,True,B2B
125,137,Kristen Hinton,Small Business,2012-10-26,,True,B2B
126,138,Kevin Schmidt,Small Business,2013-02-09,,True,B2B
127,139,Elsie Hewitt,Small Business,2012-12-31,,True,B2B
128,141,Toni Daly,Corporate,2011-01-14,2012-01-23,False,
129,141,Toni Daly,Small Business,2012-01-24,,True,B2B
130,142,Brooke Weeks Taylor,Small Business,2010-06-02,,True,B2B
131,143,Leigh Ivey,Small Business,2012-01-24,,True,B2B
132,144,Marguerite Moss,Small Business,2010-06-02,,True,B2B
133,145,Rhonda Ivey,Corporate,2012-03-15,,True,B2B
134,145,Rhonda Ivey,Home Office,2010-09-16,2012-03-14,False,
135,145,Rhonda Ivey,Small Business,2010-01-15,2010-09-15,False,
136,146,Yvonne Fox,Corporate,2010-10-23,,True,B2B
137,146,Yvonne Fox,Small Business,2010-09-12,2010-10-22,False,
138,147,Bryan Pate,Small Business,2013-06-02,,True,B2B
139,148,Sidney Cox,Small Business,2012-07-22,,True,B2B
140,149,Stuart Chan,Small Business,2011-09-24,,True,B2B
141,151,Geoffrey Zhu,Home Office,2010-01-22,2012-10-03,False,
142,151,Geoffrey Zhu,Small Business,2012-10-04,,True,B2B
143,152,Kent Kerr,Consumer,2010-01-15,2010-04-18,False,
144,152,Kent Kerr,Home Office,2010-04-19,2010-12-17,False,
145,152,Kent Kerr,Small Business,2010-12-18,,True,B2B
146,153,Glenda Rosen,Consumer,2012-04-23,2012-10-12,False,
147,153,Glenda Rosen,Small Business,2012-10-13,,True,B2B
148,154,Marion Jordan,Home Office,2013-08-28,,True,B2C
149,154,Marion Jordan,Small Business,2012-09-04,2013-08-27,False,
150,156,Diana Xu,Corporate,2010-05-14,,True,B2B
151,157,Terry Benson,Corporate,2013-01-21,,True,B2B
152,159,Gail Welch,Consumer,2011-06-04,,True,B2C
153,161,Edgar Oakley,Small Business,2013-05-26,,True,B2B
154,162,Erin Erickson,Home Office,2013-01-16,,True,B2C
155,163,Jeff Bunn,Home Office,2011-11-04,,True,B2C
156,164,Robin Kramer Vaughn,Home Office,2010-07-02,2012-06-28,False,
157,164,Robin Kramer Vaughn,Small Business,2012-06-29,,True,B2B
158,166,Vicki Hauser,Consumer,2010-01-11,,True,B2C
159,167,Carla Braun,Consumer,2011-06-23,,True,B2C
160,169,Janice Cole,Corporate,2010-01-03,,True,B2B
161,170,Christopher Carlton,Corporate,2011-03-16,,True,B2B
162,171,Christina Matthews,Corporate,2010-04-13,,True,B2B
163,172,Norman Sawyer,Corporate,2011-07-14,,True,B2B
164,174,Amanda Huang,Corporate,2011-07-17,,True,B2B
165,175,Angela Bernstein,Corporate,2011-04-20,,True,B2B
166,177,Brent Walters,Small Business,2011-03-09,,True,B2B
167,178,Sheryl Alexander,Small Business,2011-02-26,,True,B2B
168,180,Harold Briggs,Consumer,2012-12-24,,True,B2C
169,181,Wesley Waller,Corporate,2010-11-22,,True,B2B
170,181,Wesley Waller,Small Business,2010-02-21,2010-11-21,False,
171,182,Ryan Mann,Small Business,2012-03-21,,True,B2B
172,183,Dan Carver,Corporate,2013-12-23,,True,B2B
173,184,Phillip Holmes,Small Business,2010-02-21,,True,B2B
174,185,Carolyn Blackwell,Small Business,2012-01-16,,True,B2B
175,186,Johnny Finley,Small Business,2011-11-03,,True,B2B
176,187,Yvonne Faircloth,Small Business,2011-03-19,,True,B2B
177,188,Alex Harrell,Corporate,2010-11-22,,True,B2B
178,190,Lloyd Norris,Corporate,2010-08-12,,True,B2B
179,191,Gerald Kearney,Corporate,2010-08-12,,True,B2B
180,193,Danny Hong,Corporate,2010-01-03,,True,B2B
181,194,Tammy Goldman,Corporate,2010-01-10,,True,B2B
182,195,Jason Knox,Corporate,2011-06-04,,True,B2B
183,196,Holly Chu,Small Business,2011-01-05,,True,B2B
184,197,Samantha Weaver,Small Business,2010-10-02,,True,B2B
185,198,Leroy Blanchard,Small Business,2010-10-02,,True,B2B
186,200,Martha Pridgen,Home Office,2012-01-27,,True,B2C
187,202,Max Small,Corporate,2010-04-27,,True,B2B
188,204,Bob Epstein,Corporate,2011-05-16,,True,B2B
189,205,Priscilla Owen,Corporate,2012-08-30,,True,B2B
190,207,Toni Olsen,Consumer,2012-01-21,,True,B2C
191,208,Tammy Brandon,Consumer,2013-03-01,,True,B2C
192,210,Floyd Dale,Consumer,2012-10-20,,True,B2C
193,210,Floyd Dale,Home Office,2010-07-17,2012-10-19,False,
194,211,Anna Wood,Consumer,2010-07-06,2010-12-01,False,
195,211,Anna Wood,Corporate,2013-07-18,,True,B2B
196,211,Anna Wood,Home Office,2010-12-02,2013-07-17,False,
197,212,Milton Clarke,Consumer,2011-02-21,2011-07-26,False,
198,212,Milton Clarke,Home Office,2011-07-27,,True,B2C
199,214,Jose Gates Rodriguez,Consumer,2012-11-27,,True,B2C
200,214,Jose Gates Rodriguez,Home Office,2011-07-21,2012-11-26,False,
201,215,Vicki O'Donnell,Consumer,2013-02-19,2013-12-20,False,
202,215,Vicki O'Donnell,Home Office,2013-12-21,,True,B2C
203,216,Tonya B Horne,Consumer,2011-06-06,2012-02-21,False,
204,216,Tonya B Horne,Home Office,2012-02-22,,True,B2C
205,217,Billy Odom,Consumer,2012-09-15,,True,B2C
206,217,Billy Odom,Home Office,2011-09-13,2012-09-14,False,
207,218,Frances Saunders,Consumer,2010-12-09,,True,B2C
208,220,Jacob Kirby,Home Office,2012-05-06,,True,B2C
209,221,Colleen Wilcox,Home Office,2011-06-27,,True,B2C
210,223,Joe Nicholson,Small Business,2012-01-11,,True,B2B
211,224,Evan Currie,Small Business,2012-02-18,,True,B2B
212,225,Hazel Britt,Small Business,2012-01-31,,True,B2B
213,226,Heather Fleming,Small Business,2013-05-12,,True,B2B
214,227,Stacey Glenn,Small Business,2012-01-31,,True,B2B
215,228,Colleen Andrews,Small Business,2010-04-02,,True,B2B
216,230,Jack Horne,Home Office,2012-01-05,,True,B2C
217,232,Sandy Holmes,Small Business,2011-08-04,,True,B2B
218,233,Michele Bullard,Small Business,2010-02-20,,True,B2B
219,234,Don Cameron,Small Business,2010-02-05,,True,B2B
220,236,Shawn McIntyre,Consumer,2012-09-03,,True,B2C
221,236,Shawn McIntyre,Corporate,2010-02-22,2012-09-02,False,
222,237,Amanda Helms,Consumer,2012-03-01,,True,B2C
223,238,Tamara Fischer,Consumer,2013-05-05,,True,B2C
224,238,Tamara Fischer,Corporate,2012-08-25,2013-05-04,False,
225,240,Gilbert Scarborough,Small Business,2010-04-20,,True,B2B
226,241,Amy Ellis Holder,Small Business,2010-04-20,,True,B2B
227,242,Betsy Hendricks,Small Business,2011-05-01,,True,B2B
228,244,Marie Fitzgerald,Corporate,2013-10-18,,True,B2B
229,245,Julie Pruitt,Corporate,2013-02-19,,True,B2B
230,247,Marshall Brandt Briggs,Corporate,2010-08-23,,True,B2B
231,248,Anthony Han,Corporate,2011-04-22,,True,B2B
232,250,Brenda Nelson Blanchard,Corporate,2010-11-28,,True,B2B
233,251,Joann Davidson Rich,Corporate,2012-03-12,,True,B2B
234,252,Steven McDowell,Corporate,2013-12-02,,True,B2B
235,254,Brett Hawkins,Home Office,2010-12-10,,True,B2C
236,255,Cheryl Curtis,Home Office,2011-02-20,,True,B2C
237,256,Irene Li,Home Office,2010-01-31,,True,B2C
238,258,Allan Shields,Consumer,2010-07-02,2012-03-09,False,
239,258,Allan Shields,Corporate,2012-03-10,,True,B2B
240,259,Edward Pugh,Consumer,2010-01-19,,True,B2C
241,260,Brenda Gonzalez,Corporate,2011-04-24,,True,B2B
242,262,Leah MacDonald,Home Office,2011-01-26,,True,B2C
243,263,Carlos Hess,Home Office,2011-07-25,,True,B2C
244,263,Carlos Hess,Small Business,2010-01-21,2011-07-24,False,
245,264,Erik Harmon,Home Office,2013-05-07,,True,B2C
246,266,Ross Frederick,Corporate,2010-05-18,,True,B2B
247,267,Marilyn Blalock,Corporate,2013-09-05,,True,B2B
248,268,James Beck,Home Office,2010-04-07,,True,B2C
249,269,Calvin Boyette,Home Office,2010-12-05,2011-12-18,False,
250,269,Calvin Boyette,Small Business,2011-12-19,,True,B2B
251,270,Robyn White,Home Office,2012-01-19,,True,B2C
252,270,Robyn White,Small Business,2011-07-04,2012-01-18,False,
253,271,Sam Rouse,Home Office,2011-04-04,,True,B2C
254,271,Sam Rouse,Small Business,2010-03-30,2011-04-03,False,
255,272,Eleanor Swain,Home Office,2010-04-07,2011-07-03,False,
256,272,Eleanor Swain,Small Business,2011-07-04,,True,B2B
257,274,Valerie Rice,Corporate,2012-02-13,,True,B2B
258,275,Roger Blalock Cassidy,Corporate,2010-07-24,,True,B2B
259,276,Lucille Rankin,Corporate,2010-05-21,,True,B2B
260,277,Hazel Herman,Corporate,2013-06-11,,True,B2B
261,278,Marc Hoover,Corporate,2012-06-29,,True,B2B
262,279,Kevin Melvin,Corporate,2012-06-29,,True,B2B
263,280,Greg Walsh,Corporate,2012-02-13,,True,B2B
264,281,Fred H Proctor,Corporate,2012-03-26,,True,B2B
265,282,Vickie Andrews,Corporate,2010-05-21,,True,B2B
266,283,Pauline Boyette,Corporate,2010-12-17,,True,B2B
267,284,Jerome Cummings,Corporate,2012-02-13,,True,B2B
268,286,Virginia Gay,Small Business,2010-06-17,,True,B2B
269,287,Bruce Norton,Small Business,2011-01-18,,True,B2B
270,288,Patricia Cole Blair,Small Business,2010-07-16,,True,B2B
271,290,Sara O'Connor,Small Business,2010-09-25,,True,B2B
272,291,Norma Oliver,Small Business,2012-06-08,,True,B2B
273,292,Brian Meadows,Small Business,2012-06-08,,True,B2B
274,294,Rose Reed,Corporate,2012-07-14,,True,B2B
275,295,Gloria Quinn,Corporate,2011-11-29,,True,B2B
276,296,Seth Rosenberg,Corporate,2013-12-19,,True,B2B
277,297,Stacy Price,Corporate,2011-11-29,,True,B2B
278,298,Eugene Terrell,Corporate,2012-07-14,,True,B2B
279,299,Joshua Underwood,Corporate,2011-09-10,,True,B2B
280,300,Larry W Lehman,Corporate,2013-08-07,,True,B2B
281,301,Valerie Whitfield,Corporate,2013-09-06,,True,B2B
282,303,Bill Bowers Li,Consumer,2013-02-08,,True,B2C
283,304,Alexandra Duke,Consumer,2013-02-27,,True,B2C
284,304,Alexandra Duke,Small Business,2013-02-27,,True,B2B
285,305,Gayle Christian,Consumer,2011-05-11,2011-09-18,False,
286,305,Gayle Christian,Small Business,2011-09-19,,True,B2B
287,306,Thomas McAllister,Consumer,2012-06-06,,True,B2C
288,306,Thomas McAllister,Small Business,2010-08-14,2012-06-05,False,
289,307,Roy Love,Consumer,2011-05-26,,True,B2C
290,308,Glen Caldwell,Consumer,2011-05-11,,True,B2C
291,308,Glen Caldwell,Small Business,2010-08-14,2011-05-10,False,
292,310,Florence Clayton,Consumer,2011-05-11,,True,B2C
293,311,Caroline Ingram,Consumer,2011-05-11,,True,B2C
294,313,Ruth Stout,Corporate,2011-07-21,,True,B2B
295,314,Ruby Gibbons,Corporate,2010-03-20,,True,B2B
296,315,Benjamin Kaufman,Corporate,2010-03-20,,True,B2B
297,317,Katherine Kearney,Corporate,2010-06-17,,True,B2B
298,318,Timothy Barker,Corporate,2012-11-24,,True,B2B
299,319,Jenny Henry,Corporate,2013-05-14,,True,B2B
300,321,Arthur Lowe Nash,Consumer,2010-10-04,,True,B2C
301,322,Regina Kelley,Home Office,2013-02-11,,True,B2C
302,324,Lester Stuart,Corporate,2011-08-09,,True,B2B
303,326,Brenda May,Consumer,2010-12-09,,True,B2C
304,327,Sherri McKinney,Consumer,2011-09-25,,True,B2C
305,329,Faye Dyer,Home Office,2010-04-14,,True,B2C
306,330,Victoria Reed,Home Office,2012-10-25,,True,B2C
307,331,Bradley Pollock,Home Office,2010-04-14,,True,B2C
308,332,Rhonda Cummings,Home Office,2012-10-25,,True,B2C
309,333,Karl Holloway,Home Office,2013-08-28,,True,B2C
310,335,Curtis O'Connell,Corporate,2010-05-04,,True,B2B
311,336,Emma Sparks,Corporate,2011-09-05,,True,B2B
312,337,Jonathan Cheng,Corporate,2013-08-09,,True,B2B
313,339,Bobby Clements,Corporate,2010-09-17,,True,B2B
314,340,Wanda Link Fuller,Corporate,2013-12-06,,True,B2B
315,341,Donna Ross,Corporate,2013-10-28,,True,B2B
316,342,Jacqueline Noble,Corporate,2010-11-04,,True,B2B
317,343,Lynn Epstein,Corporate,2010-07-31,,True,B2B
318,344,Rosemary English,Corporate,2010-11-04,,True,B2B
319,345,Theresa Haynes,Corporate,2013-02-15,,True,B2B
320,346,Walter Jensen,Corporate,2013-03-08,,True,B2B
321,347,Alexandra Lambert,Corporate,2013-10-28,,True,B2B
322,348,Justin Kennedy,Corporate,2013-02-15,,True,B2B
323,349,Kim Weiss,Home Office,2010-06-09,,True,B2C
324,350,Holly Carey,Home Office,2012-04-13,,True,B2C
325,351,Juanita Coley Knox,Home Office,2010-06-09,,True,B2C
326,353,Bonnie Chambers,Home Office,2010-05-14,,True,B2C
327,354,Joanna Hill,Home Office,2011-10-03,,True,B2C
328,355,Grace Vaughn,Home Office,2011-11-26,,True,B2C
329,357,Barbara McNamara,Corporate,2010-11-24,,True,B2B
330,358,Chris F Brandt,Corporate,2010-01-09,,True,B2B
331,360,Lindsay Shepherd,Small Business,2011-01-01,,True,B2B
332,361,Veronica Francis,Small Business,2011-10-07,,True,B2B
333,362,Warren Gibbs,Small Business,2013-05-13,,True,B2B
334,363,Erica Lyon,Small Business,2011-03-25,,True,B2B
335,364,Evan Snow,Small Business,2013-05-13,,True,B2B
336,365,Chris Bernstein,Small Business,2013-05-13,,True,B2B
337,366,Patrick Rosenthal,Small Business,2010-01-17,,True,B2B
338,367,Richard Keller,Small Business,2013-04-09,,True,B2B
339,369,Troy Moon,Corporate,2010-10-11,,True,B2B
340,370,Sam Oh,Corporate,2010-05-27,,True,B2B
341,371,Roberta Mullins Peters,Corporate,2010-05-27,,True,B2B
342,372,Doris Tyson,Corporate,2012-10-18,,True,B2B
343,373,Jeanne Werner,Small Business,2010-03-14,,True,B2B
344,374,Kathy Cooke,Small Business,2012-10-09,,True,B2B
345,375,Sandra Sharma,Small Business,2010-03-14,,True,B2B
346,377,Sylvia Bush,Consumer,2010-10-17,,True,B2C
347,378,Cindy Ennis,Consumer,2012-05-17,,True,B2C
348,380,Marian Bryant,Corporate,2011-07-31,,True,B2B
349,381,Danielle Watts,Corporate,2010-05-01,,True,B2B
350,382,Wesley Dudley,Corporate,2011-05-25,,True,B2B
351,383,Renee Alston,Corporate,2010-03-19,,True,B2B
352,385,Jose High,Corporate,2011-12-07,2013-01-20,False,
353,385,Jose High,Small Business,2013-01-21,,True,B2B
354,386,Sue Nichols,Corporate,2011-12-07,,True,B2B
355,387,Angela Howe,Corporate,2010-12-12,,True,B2B
356,388,Roger Schwartz,Corporate,2010-01-03,2013-04-21,False,
357,388,Roger Schwartz,Small Business,2013-04-22,,True,B2B
358,389,Joel Buckley,Corporate,2010-02-06,2013-10-12,False,
359,389,Joel Buckley,Small Business,2013-10-13,,True,B2B
360,391,Suzanne Shannon,Corporate,2011-11-09,,True,B2B
361,392,Erica R Fuller,Corporate,2010-03-05,,True,B2B
362,393,Shawn Combs,Corporate,2010-02-15,,True,B2B
363,394,Kristin Simpson,Corporate,2012-02-10,,True,B2B
364,395,Monica McCormick,Corporate,2010-12-18,,True,B2B
365,397,Denise Carver,Corporate,2010-02-02,,True,B2B
366,398,Bruce Stark,Corporate,2010-11-23,,True,B2B
367,399,Sheryl Law,Corporate,2012-03-19,,True,B2B
368,401,Teresa Brewer,Small Business,2011-04-03,,True,B2B
369,402,Andrew Todd,Small Business,2012-10-01,,True,B2B
370,403,Toni Christian,Small Business,2011-04-03,,True,B2B
371,404,Laura Carver Branch,Small Business,2013-03-28,,True,B2B
372,405,Ricky Hess,Small Business,2013-03-28,,True,B2B
373,406,June Frank Hammond,Small Business,2010-05-21,,True,B2B
374,408,Calvin Parsons Walter,Corporate,2010-11-02,,True,B2B
375,409,Diane Shah,Corporate,2011-02-15,,True,B2B
376,411,Carolyn Proctor,Consumer,2010-05-04,,True,B2C
377,412,Paige Bowden,Consumer,2011-05-14,,True,B2C
378,413,Mildred Mullen,Consumer,2011-06-01,,True,B2C
379,414,Terry Christian,Consumer,2011-06-01,,True,B2C
380,415,Jimmy Woodward,Consumer,2011-05-14,,True,B2C
381,417,Mike Pollard,Small Business,2012-03-16,,True,B2B
382,418,Lester Cho,Small Business,2011-01-17,,True,B2B
383,419,Amy Hale,Small Business,2011-01-17,,True,B2B
384,420,Bernard Block Petersen,Small Business,2012-08-24,,True,B2B
385,421,Scott Feldman,Small Business,2010-02-06,,True,B2B
386,422,Gretchen Zimmerman,Small Business,2013-10-10,,True,B2B
387,423,Alexander Baker,Small Business,2011-10-10,,True,B2B
388,424,Marion Kaplan,Small Business,2012-08-24,,True,B2B
389,426,Marc Cochran,Corporate,2013-03-23,,True,B2B
390,427,Annie McLaughlin,Consumer,2013-01-25,,True,B2C
391,427,Annie McLaughlin,Corporate,2011-06-06,2013-01-24,False,
392,428,Ernest Barber,Consumer,2013-11-15,,True,B2C
393,428,Ernest Barber,Corporate,2010-07-15,2013-11-14,False,
394,430,Harvey Barrett,Corporate,2012-09-03,,True,B2B
395,430,Harvey Barrett,Small Business,2011-11-05,2012-09-02,False,
396,431,Claude Meyer,Corporate,2012-12-03,,True,B2B
397,431,Claude Meyer,Small Business,2012-11-21,2012-12-02,False,
398,432,Peter Creech,Small Business,2012-09-23,,True,B2B
399,433,Brenda Klein,Small Business,2013-07-19,,True,B2B
400,434,Melinda Ross,Small Business,2011-06-10,,True,B2B
401,435,Elisabeth Bullock,Small Business,2012-09-23,,True,B2B
402,436,Lauren Lanier,Small Business,2013-07-19,,True,B2B
403,437,Alice Berger McIntyre,Small Business,2010-06-22,,True,B2B
404,438,Edwin Winters,Corporate,2013-12-09,,True,B2B
405,439,Jay Parker,Corporate,2013-12-09,,True,B2B
406,440,Cheryl Lester Coley,Corporate,2013-12-09,,True,B2B
407,441,Jack Durham,Small Business,2011-06-10,,True,B2B
408,443,Chris High,Small Business,2013-04-25,,True,B2B
409,444,Thelma Abrams,Small Business,2010-11-25,,True,B2B
410,445,Judy Barrett,Small Business,2010-04-11,,True,B2B
411,447,Valerie Moon,Corporate,2010-06-25,,True,B2B
412,448,Maria B Hanna,Corporate,2012-02-13,,True,B2B
413,450,Arlene Poe,Corporate,2012-08-20,,True,B2B
414,450,Arlene Poe,Home Office,2011-12-27,2012-08-19,False,
415,451,Joyce Murray,Home Office,2010-04-10,,True,B2C
416,452,Leslie Rowland,Home Office,2010-05-27,,True,B2C
417,453,George Terry,Corporate,2010-05-08,2011-12-15,False,
418,453,George Terry,Home Office,2011-12-16,,True,B2C
419,454,Gayle Waller,Corporate,2013-08-12,,True,B2B
420,454,Gayle Waller,Home Office,2012-05-31,2013-08-11,False,
421,455,Jessica Garcia,Corporate,2013-11-01,,True,B2B
422,456,Eugene Womble,Corporate,2013-06-10,,True,B2B
423,457,Dan Barton,Corporate,2013-11-01,,True,B2B
424,458,Leslie Patton Combs,Home Office,2013-05-14,,True,B2C
425,459,Gail B Weinstein,Home Office,2011-06-04,,True,B2C
426,460,Anne Armstrong,Home Office,2010-11-23,,True,B2C
427,461,Glenn Jones,Corporate,2013-11-01,,True,B2B
428,463,Debbie Stevenson,Small Business,2010-07-14,,True,B2B
429,464,Patrick Rhodes,Small Business,2011-10-18,,True,B2B
430,465,Ricky Johnston,Small Business,2011-12-13,,True,B2B
431,466,Marc Nash,Small Business,2010-01-11,,True,B2B
432,467,Maria Thomas,Small Business,2010-01-11,,True,B2B
433,468,Craig Bennett,Small Business,2010-01-11,,True,B2B
434,469,Marion Bowling,Small Business,2010-01-11,,True,B2B
