Order ID,Customer ID,Customer Name,Region,State or Province,City,Postal Code,Customer Segment,Order Priority,Ship Mode,Product Category,Product Sub-Category,Product Container,Product Name,Order Date,Ship Date,Discount,Unit Price,Discount Amount,Discount Price,Shipping Cost,Quantity
86842,15,Timothy Reese,East,New York,Smithtown,11787,Small Business,Low,Regular Air,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",1/19/2013,1/21/2013,0,7.59,0.00,7.59,4,4
86843,15,Timothy Reese,East,New York,Smithtown,11787,Small Business,Low,Regular Air,Office Supplies,Labels,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",1/21/2013,1/23/2013,0.07,4.13,0.29,3.84,6.89,9
86836,16,Sarah Ramsey,East,New York,Syracuse,13210,Small Business,High,Regular Air,Office Supplies,Rubber Bands,Wrap Bag,Staples Gold Paper Clips,2/12/2010,2/15/2010,0.04,2.98,0.12,2.86,1.58,6
86836,16,Sarah Ramsey,East,New York,Syracuse,13210,Small Business,High,Regular Air,Technology,Telephones and Communication,Small Box,StarTAC 7797,2/12/2010,2/14/2010,0.05,115.99,5.80,110.19,2.5,10
86844,16,Sarah Ramsey,East,New York,Syracuse,13210,Small Business,High,Express Air,Office Supplies,Binders and Binder Accessories,Small Box,"GBC Laser Imprintable Binding System Covers, Desert Sand",2/12/2013,2/15/2013,0.08,14.27,1.14,13.13,7.27,3
90033,17,Florence Hsu Schwarz,West,Montana,Great Falls,59405,Small Business,Low,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",4/20/2011,4/24/2011,0.05,5.85,0.29,5.56,2.27,2
90034,17,Florence Hsu Schwarz,West,Montana,Great Falls,59405,Small Business,Critical,Express Air,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,4/6/2012,4/8/2012,0.05,7.77,0.39,7.38,9.23,4
90031,18,Laurie Hanna,West,Montana,Helena,59601,Small Business,High,Regular Air,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,5/15/2010,5/16/2010,0.05,26.48,1.32,25.16,6.93,17
90035,18,Laurie Hanna,West,Montana,Helena,59601,Small Business,Critical,Express Air,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,5/15/2012,5/16/2012,0.08,42.98,3.44,39.54,4.62,15
90035,18,Laurie Hanna,West,Montana,Helena,59601,Small Business,Critical,Express Air,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",5/15/2012,5/15/2012,0.07,8.04,0.56,7.48,8.94,9
90038,18,Laurie Hanna,West,Montana,Helena,59601,Small Business,Not Specified,Regular Air,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,5/21/2013,5/22/2013,0.08,5,0.40,4.60,3.39,13
90039,18,Laurie Hanna,West,Montana,Helena,59601,Small Business,Low,Delivery Truck,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,10/2/2013,10/4/2013,0.02,110.98,2.22,108.76,30,22
90039,18,Laurie Hanna,West,Montana,Helena,59601,Small Business,Low,Regular Air,Office Supplies,Labels,Small Box,Avery 485,10/2/2013,10/4/2013,0.01,12.53,0.13,12.40,0.5,17
90032,19,Jim Rodgers,West,Montana,Missoula,59801,Small Business,Not Specified,Regular Air,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,5/21/2010,5/23/2010,0.07,12.99,0.91,12.08,9.44,18
90036,20,Marion Nolan Kaplan,Central,Nebraska,Bellevue,68005,Small Business,Not Specified,Express Air,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,5/31/2012,6/2/2012,0.06,64.65,3.88,60.77,35,13
90036,20,Marion Nolan Kaplan,Central,Nebraska,Bellevue,68005,Small Business,Not Specified,Delivery Truck,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,5/31/2012,6/1/2012,0,15.23,0.00,15.23,27.75,1
90037,20,Marion Nolan Kaplan,Central,Nebraska,Bellevue,68005,Small Business,Medium,Regular Air,Office Supplies,Paper,Small Box,Xerox 197,3/7/2013,3/8/2013,0,30.98,0.00,30.98,17.08,1
41793,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,High,Regular Air,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,5/15/2010,5/16/2010,0.05,26.48,1.32,25.16,6.93,70
42949,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Not Specified,Regular Air,Office Supplies,Rubber Bands,Wrap Bag,Advantus Plastic Paper Clips,5/21/2010,5/22/2010,0.08,5,0.40,4.60,3.39,58
42949,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Not Specified,Regular Air,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,5/21/2010,5/23/2010,0.07,12.99,0.91,12.08,9.44,71
55269,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Medium,Regular Air,Office Supplies,Paper,Small Box,Xerox 197,3/7/2011,3/8/2011,0,30.98,0.00,30.98,17.08,1
9895,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Low,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon My First Ticonderoga Pencil, #2",4/20/2011,4/24/2011,0.05,5.85,0.29,5.56,2.27,9
17860,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Critical,Express Air,Office Supplies,Appliances,Small Box,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,4/6/2012,4/8/2012,0.05,7.77,0.39,7.38,9.23,18
26887,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Critical,Express Air,Office Supplies,Appliances,Small Box,Belkin F9M820V08 8 Outlet Surge,5/15/2012,5/16/2012,0.08,42.98,3.44,39.54,4.62,60
26887,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Critical,Express Air,Office Supplies,Binders and Binder Accessories,Small Box,"Fellowes Twister Kit, Gray/Clear, 3/pkg",5/15/2012,5/15/2012,0.07,8.04,0.56,7.48,8.94,36
50533,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Not Specified,Express Air,Office Supplies,Storage & Organization,Large Box,Space Solutions Commercial Steel Shelving,5/31/2012,6/2/2012,0.06,64.65,3.88,60.77,35,50
50533,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Not Specified,Delivery Truck,Furniture,Tables,Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,5/31/2012,6/1/2012,0,15.23,0.00,15.23,27.75,5
18596,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Low,Delivery Truck,Furniture,Chairs & Chairmats,Jumbo Drum,Office Star Flex Back Scooter Chair with White Frame,10/2/2013,10/4/2013,0.02,110.98,2.22,108.76,30,88
18596,21,Tony Wilkins Winters,East,New York,New York City,10012,Small Business,Low,Regular Air,Office Supplies,Labels,Small Box,Avery 485,10/2/2013,10/4/2013,0.01,12.53,0.13,12.40,0.5,67
87655,23,Lynn Moss,West,California,Laguna Hills,92653,Corporate,High,Regular Air,Furniture,Office Furnishings,Small Pack,Nu-Dell Leatherette Frames,11/11/2011,11/12/2011,0.05,14.34,0.72,13.62,5,36
87655,23,Lynn Moss,West,California,Laguna Hills,92653,Corporate,High,Regular Air,Office Supplies,Paper,Small Box,Xerox 1979,11/11/2011,11/12/2011,0,30.98,0.00,30.98,8.74,37
87660,23,Lynn Moss,West,California,Laguna Hills,92653,Corporate,Not Specified,Express Air,Office Supplies,Paper,Small Box,Xerox 1929,9/10/2012,9/13/2012,0.07,22.84,1.60,21.24,5.47,7
87669,23,Lynn Moss,West,California,Laguna Hills,92653,Corporate,Low,Delivery Truck,Furniture,Tables,Jumbo Box,BPI Conference Tables,11/18/2013,11/25/2013,0.1,146.05,14.61,131.45,80.2,11
87651,24,Edna Thomas,West,California,Laguna Niguel,92677,Corporate,High,Regular Air,Office Supplies,Paper,Small Box,Xerox 194,1/28/2010,1/29/2010,0.06,55.48,3.33,52.15,14.3,1
87651,24,Edna Thomas,West,California,Laguna Niguel,92677,Corporate,High,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,1/28/2010,1/30/2010,0.02,1.68,0.03,1.65,1.57,1
87656,24,Edna Thomas,West,California,Laguna Niguel,92677,Corporate,Not Specified,Regular Air,Technology,Telephones and Communication,Small Box,V70,3/2/2012,3/4/2012,0.07,205.99,14.42,191.57,2.5,13
87662,24,Edna Thomas,West,California,Laguna Niguel,92677,Corporate,High,Regular Air,Office Supplies,Pens & Art Supplies,Small Pack,Boston 1730 StandUp Electric Pencil Sharpener,12/19/2012,12/20/2012,0.06,21.38,1.28,20.10,8.99,5
87663,24,Edna Thomas,West,California,Laguna Niguel,92677,Corporate,Critical,Regular Air,Office Supplies,Appliances,Medium Box,Harmony HEPA Quiet Air Purifiers,1/13/2013,1/14/2013,0.07,11.7,0.82,10.88,6.96,8
87657,25,Virginia Hardison,West,California,Lake Elsinore,92530,Corporate,High,Regular Air,Technology,Computer Peripherals,Small Pack,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",4/18/2012,4/20/2012,0.02,5.98,0.12,5.86,3.85,1
87657,25,Virginia Hardison,West,California,Lake Elsinore,92530,Corporate,High,Regular Air,Office Supplies,Paper,Small Box,Xerox 1992,4/18/2012,4/20/2012,0.05,5.98,0.30,5.68,5.2,1
87666,25,Virginia Hardison,West,California,Lake Elsinore,92530,Corporate,Critical,Regular Air,Office Supplies,Appliances,Medium Box,3M Office Air Cleaner,7/2/2013,7/4/2013,0.06,25.98,1.56,24.42,5.37,7
87666,25,Virginia Hardison,West,California,Lake Elsinore,92530,Corporate,Critical,Regular Air,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",7/2/2013,7/4/2013,0.05,155.06,7.75,147.31,7.07,12
87658,26,Marguerite Kane,West,California,Lake Forest,92630,Corporate,Medium,Regular Air,Office Supplies,Appliances,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,6/27/2012,6/29/2012,0.08,59.98,4.80,55.18,3.99,11
87667,26,Marguerite Kane,West,California,Lake Forest,92630,Corporate,Not Specified,Express Air,Office Supplies,Labels,Small Box,Avery 498,9/2/2013,9/3/2013,0,2.89,0.00,2.89,0.5,7
87670,26,Marguerite Kane,West,California,Lake Forest,92630,Corporate,High,Regular Air,Office Supplies,Labels,Small Box,Avery 52,12/11/2013,12/12/2013,0.09,3.69,0.33,3.36,0.5,15
87670,26,Marguerite Kane,West,California,Lake Forest,92630,Corporate,High,Regular Air,Technology,Telephones and Communication,Small Box,V 3600 Series,12/11/2013,12/12/2013,0.06,65.99,3.96,62.03,8.99,3
87652,27,Guy Gallagher,West,California,Lakewood,90712,Corporate,Not Specified,Regular Air,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,11/2/2010,11/4/2010,0.04,4.14,0.17,3.97,6.6,12
87659,27,Guy Gallagher,West,California,Lakewood,90712,Corporate,Low,Regular Air,Office Supplies,Paper,Small Box,Xerox 1880,7/12/2012,7/14/2012,0.1,35.44,3.54,31.90,19.99,4
87659,27,Guy Gallagher,West,California,Lakewood,90712,Corporate,Low,Regular Air,Office Supplies,Paper,Small Box,Xerox 194,7/12/2012,7/17/2012,0.06,55.48,3.33,52.15,14.3,9
87661,27,Guy Gallagher,West,California,Lakewood,90712,Corporate,Critical,Express Air,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",10/26/2012,10/26/2012,0,8.09,0.00,8.09,7.96,23
87661,27,Guy Gallagher,West,California,Lakewood,90712,Corporate,Critical,Regular Air,Furniture,Office Furnishings,Wrap Bag,Coloredge Poster Frame,10/26/2012,10/28/2012,0.06,14.2,0.85,13.35,5.3,11
87668,27,Guy Gallagher,West,California,Lakewood,90712,Corporate,Not Specified,Regular Air,Technology,Telephones and Communication,Small Box,SC-3160,11/2/2013,11/4/2013,0.01,65.99,0.66,65.33,8.99,29
87653,28,Ronnie McNamara,West,California,Lancaster,93534,Corporate,High,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 346,1/22/2011,1/23/2011,0.06,2.88,0.17,2.71,0.7,1
87665,28,Ronnie McNamara,West,California,Lancaster,93534,Corporate,Critical,Regular Air,Office Supplies,Appliances,Medium Box,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,4/14/2013,4/16/2013,0.07,225.04,15.75,209.29,11.79,1
87654,29,Elizabeth Walker,West,California,Lawndale,90260,Corporate,Not Specified,Regular Air,Technology,Telephones and Communication,Small Box,StarTAC Series,1/30/2011,2/1/2011,0.08,65.99,5.28,60.71,3.9,3
87664,29,Elizabeth Walker,West,California,Lawndale,90260,Corporate,Not Specified,Regular Air,Office Supplies,Labels,Small Box,Avery 481,1/30/2013,1/31/2013,0.08,3.08,0.25,2.83,0.99,1
89206,31,Alice Capps,West,Oregon,Eugene,97405,Corporate,High,Regular Air,Office Supplies,Paper,Small Box,Xerox 1966,8/11/2012,8/13/2012,0.01,6.48,0.06,6.42,6.65,15
89199,32,Matthew Berman,West,Oregon,Grants Pass,97526,Corporate,High,Regular Air,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,2/22/2010,2/23/2010,0.08,34.99,2.80,32.19,7.73,13
89200,32,Matthew Berman,West,Oregon,Grants Pass,97526,Corporate,High,Regular Air,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,3/27/2010,3/28/2010,0.01,17.98,0.18,17.80,8.51,2
89202,32,Matthew Berman,West,Oregon,Grants Pass,97526,Corporate,Medium,Express Air,Technology,Telephones and Communication,Small Box,StarTAC 3000,7/20/2010,7/22/2010,0.09,125.99,11.34,114.65,7.69,8
89203,32,Matthew Berman,West,Oregon,Grants Pass,97526,Corporate,Low,Regular Air,Technology,Telephones and Communication,Small Box,TimeportP7382,9/12/2010,9/19/2010,0.06,205.99,12.36,193.63,8.99,22
89204,32,Matthew Berman,West,Oregon,Grants Pass,97526,Corporate,Critical,Regular Air,Office Supplies,Paper,Wrap Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",10/6/2011,10/8/2011,0.08,8.95,0.72,8.23,2.01,15
89207,32,Matthew Berman,West,Oregon,Grants Pass,97526,Corporate,High,Delivery Truck,Technology,Copiers and Fax,Jumbo Drum,Canon PC940 Copier,6/12/2013,6/14/2013,0.06,449.99,27.00,422.99,49,5
89201,33,Ricky Hensley,West,Oregon,Gresham,97030,Corporate,Not Specified,Regular Air,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,6/15/2010,6/17/2010,0.03,4.24,0.13,4.11,5.41,13
89201,33,Ricky Hensley,West,Oregon,Gresham,97030,Corporate,Not Specified,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,6/15/2010,6/16/2010,0.04,2.94,0.12,2.82,0.7,18
89205,33,Ricky Hensley,West,Oregon,Gresham,97030,Corporate,Medium,Regular Air,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Turn Tabs Binder Tool for Ring Binders,1/26/2012,1/27/2012,0.05,4.82,0.24,4.58,5.24,5
89208,33,Ricky Hensley,West,Oregon,Gresham,97030,Corporate,Critical,Delivery Truck,Furniture,Chairs & Chairmats,Jumbo Drum,Novimex High-Tech Fabric Mesh Task Chair,8/16/2013,8/18/2013,0.05,70.98,3.55,67.43,30,9
89208,33,Ricky Hensley,West,Oregon,Gresham,97030,Corporate,Critical,Regular Air,Office Supplies,Paper,Small Box,Staples Copy Paper (20Lb. and 84 Bright),8/16/2013,8/18/2013,0.05,4.98,0.25,4.73,4.7,9
91256,35,Milton Bland,West,Oregon,Gresham,97030,Small Business,Not Specified,Regular Air,Technology,Office Machines,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,11/27/2012,11/28/2012,0,6783.02,0.00,6783.02,24.49,3
91257,35,Milton Bland,West,Oregon,Gresham,97030,Small Business,Low,Regular Air,Technology,Telephones and Communication,Small Box,StarTAC 7760,5/28/2013,6/2/2013,0.07,65.99,4.62,61.37,3.99,7
91256,36,Ray Morgan,West,Oregon,Hillsboro,97123,Small Business,Not Specified,Express Air,Office Supplies,Paper,Wrap Bag,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",11/27/2012,11/29/2012,0.02,9.27,0.19,9.08,4.39,29
91256,36,Ray Morgan,West,Oregon,Hillsboro,97123,Small Business,Not Specified,Regular Air,Office Supplies,Paper,Small Box,Xerox 1968,11/27/2012,11/29/2012,0.03,6.68,0.20,6.48,6.15,10
91256,37,Stacy Chandler,West,Oregon,Keizer,97303,Small Business,Not Specified,Regular Air,Office Supplies,Paper,Small Box,Xerox 1978,11/27/2012,11/30/2012,0.1,5.78,0.58,5.20,5.67,11
88682,39,Ian L O'Donnell,Central,Illinois,Alton,62002,Corporate,Medium,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,7/3/2011,7/4/2011,0.02,1.68,0.03,1.65,1.57,10
88682,39,Ian L O'Donnell,Central,Illinois,Alton,62002,Corporate,Medium,Regular Air,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Major Accent™ Highlighters,7/3/2011,7/5/2011,0.1,7.08,0.71,6.37,2.35,14
88684,39,Ian L O'Donnell,Central,Illinois,Alton,62002,Corporate,Critical,Express Air,Office Supplies,Pens & Art Supplies,Small Pack,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",6/12/2013,6/15/2013,0.07,28.15,1.97,26.18,8.99,4
88683,40,Seth Grimes,West,Washington,Anacortes,98221,Corporate,Not Specified,Regular Air,Office Supplies,Storage & Organization,Medium Box,Iris Project Case,3/21/2013,3/23/2013,0.09,7.98,0.72,7.26,6.5,4
91455,42,Alexandra Fuller,West,Washington,Puyallup,98373,Consumer,Not Specified,Regular Air,Technology,Telephones and Communication,Small Box,KF 788,11/5/2012,11/6/2012,0.09,45.99,4.14,41.85,4.99,8
91458,42,Alexandra Fuller,West,Washington,Puyallup,98373,Consumer,Not Specified,Regular Air,Furniture,Office Furnishings,Small Box,"6"" Cubicle Wall Clock, Black",11/26/2013,11/29/2013,0.07,8.09,0.57,7.52,7.96,36
91458,42,Alexandra Fuller,West,Washington,Puyallup,98373,Consumer,Not Specified,Regular Air,Technology,Telephones and Communication,Small Pack,Accessory29,11/26/2013,11/27/2013,0.03,20.99,0.63,20.36,1.25,9
91454,43,Theodore Moran,West,Washington,Redmond,98052,Consumer,High,Regular Air,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,11/10/2010,11/11/2010,0,99.99,0.00,99.99,19.99,6
91456,43,Theodore Moran,West,Washington,Redmond,98052,Consumer,Low,Regular Air,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,2/26/2013,3/4/2013,0.05,9.31,0.47,8.84,3.98,9
91457,43,Theodore Moran,West,Washington,Redmond,98052,Consumer,Critical,Delivery Truck,Furniture,Chairs & Chairmats,Jumbo Drum,Global Deluxe Office Fabric Chairs,8/30/2013,9/1/2013,0.06,95.98,5.76,90.22,58.2,15
91578,45,Melinda Sloan,Central,Texas,Coppell,75019,Home Office,Medium,Regular Air,Office Supplies,Appliances,Small Box,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,2/24/2012,2/26/2012,0.1,39.48,3.95,35.53,3.99,13
91579,45,Melinda Sloan,Central,Texas,Coppell,75019,Home Office,Not Specified,Regular Air,Office Supplies,Rubber Bands,Wrap Bag,"Advantus Push Pins, Aluminum Head",9/23/2012,9/23/2012,0.08,5.81,0.46,5.35,3.37,18
91579,46,Anne Nguyen,South,Virginia,Colonial Heights,23834,Home Office,Not Specified,Regular Air,Technology,Computer Peripherals,Small Box,Microsoft Multimedia Keyboard,9/23/2012,9/25/2012,0,30.97,0.00,30.97,4,3
91579,46,Anne Nguyen,South,Virginia,Colonial Heights,23834,Home Office,Not Specified,Regular Air,Furniture,Office Furnishings,Small Pack,"Executive Impressions 12"" Wall Clock",9/23/2012,9/25/2012,0,17.67,0.00,17.67,8.99,20
87712,48,Geoffrey Hewitt,Central,Illinois,Springfield,62701,Corporate,Medium,Regular Air,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,8/15/2011,8/15/2011,0.06,17.98,1.08,16.90,8.51,1
87713,48,Geoffrey Hewitt,Central,Illinois,Springfield,62701,Corporate,Medium,Regular Air,Office Supplies,Labels,Small Box,Avery 506,8/13/2012,8/16/2012,0.07,4.13,0.29,3.84,0.5,22
